epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.5655202449896395,4.478524754333496,5.47,16.02
1,4.270984551845452,3.9323624710083007,10.34,30.38
2,4.169619966164613,3.794828002166748,12.2,34.6
3,4.095247565782987,3.816515734863281,11.92,33.78
4,4.02996242352021,3.6793746517181396,14.03,38.39
5,3.9607870493179713,3.6017523529052733,15.6,40.27
6,3.8774565543883885,3.431489340209961,18.55,44.74
7,3.7926060291437,3.322264633178711,20.91,49.33
8,3.7137271263660527,3.3500103958129883,19.37,46.95
9,3.6210206196858334,3.1308391555786135,23.67,52.45
10,3.522426075201768,2.895953629684448,28.31,59.21
11,3.4256404833915908,2.8661439559936523,29.01,59.86
12,3.3283741718683486,2.6619449184417725,32.43,64.47
13,3.2402351177655735,2.4568283473968506,36.66,68.73
14,3.1398174383701423,2.3480526594161986,39.02,71.56
15,3.05705692584698,2.460469422531128,37.53,69.56
16,2.9904498167527027,2.2969887828826905,40.66,71.46
17,2.9103224069644242,2.0914474811553956,45.95,76.41
18,2.845897674560547,2.0467874336242677,46.14,76.14
19,2.7811397136786047,1.9067916229248048,50.73,80.12
20,2.7322877761645197,1.9549725790023804,49.51,79.23
21,2.673696441528125,1.850535859298706,51.07,80.56
22,2.628565148818187,1.8539815965652466,51.42,80.15
23,2.5778653835638976,1.7121144353866578,53.92,82.95
24,2.5343337016227916,1.662367518043518,55.62,84.3
25,2.487212497148758,1.6751794324874878,56.42,83.97
26,2.4589149976388,1.629742494392395,56.67,84.4
27,2.4200183532176873,1.5628251575469971,58.02,84.65
28,2.3841426745439187,1.5650234210968017,58.2,85.95
29,2.350261739584116,1.5384643032073975,58.92,85.98
30,2.313968401688796,1.42243249168396,62.23,87.9
31,2.2860983298375057,1.4219241846084594,61.54,87.4
32,2.2587158276484565,1.4809598136901856,61.28,86.83
33,2.2311882336934405,1.3787476305007935,63.03,88.43
34,2.198721493818821,1.4070969289779662,62.97,88.23
35,2.1782795630968534,1.4076435409545898,62.37,87.87
36,2.1496300553664183,1.3742752073287965,63.47,88.29
37,2.1297872873452994,1.3265935941696168,64.62,88.54
38,2.0989147724249424,1.2837522378921509,65.4,89.73
39,2.090560926229526,1.3046324605941773,65.96,90.0
40,2.062422172839825,1.2976838676452638,65.68,89.01
41,2.043623040883969,1.2524629070281983,66.36,90.06
42,2.014309673431592,1.2390098859786987,67.26,90.35
43,1.9927549068744366,1.2951928087234497,65.61,89.29
44,1.9718873892074977,1.246436813545227,67.06,89.92
45,1.9610143129642192,1.256972127532959,66.63,89.75
46,1.9394784474984192,1.241734888458252,66.8,90.15
47,1.9162865443107409,1.217346922492981,67.81,89.94
48,1.9027531012510641,1.2001693563461304,67.89,90.11
49,1.8843703511433723,1.1856716228485107,68.72,90.51
50,1.8661209934797043,1.195335379219055,69.19,90.9
51,1.8564929421131426,1.175170954322815,69.19,90.92
52,1.8384071649649205,1.1893192356109619,69.24,90.18
53,1.8256403479820642,1.1669798332214356,69.9,90.95
54,1.8056555744929192,1.2354442670822143,67.69,90.36
55,1.7889781053249652,1.2021279180526734,69.51,90.85
56,1.7827337362827398,1.1902526275634766,70.03,90.88
57,1.7677014421194028,1.1600161628723145,69.8,91.01
58,1.7493777822225522,1.1170916608810424,70.27,91.35
59,1.7429330018850473,1.167510545349121,69.87,90.72
60,1.7308850328127543,1.1940814609527588,69.55,90.47
61,1.7088793653708239,1.1335061882019044,71.02,91.43
62,1.6981973421879304,1.1536955538749696,70.65,91.25
63,1.6842335016299517,1.1617897455215453,70.37,91.27
64,1.6740366782897558,1.1288217751502991,70.83,91.41
65,1.6636287502753428,1.1733449796676636,70.07,90.7
66,1.6546473457263067,1.2032322933197022,70.2,90.33
67,1.6323700067324516,1.1107735124588012,71.33,91.58
68,1.620145224302243,1.1788148210525513,70.5,90.73
69,1.614889487853417,1.2093578979492188,69.77,90.09
70,1.6052718566014217,1.1510255407333374,70.51,90.99
71,1.6004374326803745,1.1590205572128296,70.54,90.95
72,1.59198172612068,1.1220356767654418,71.79,91.1
73,1.576249205149137,1.136931328010559,70.97,91.11
74,1.5609807998706133,1.0964463638305664,71.79,91.5
75,1.5593929709532321,1.1688938488006593,70.97,91.03
76,1.5462825417518615,1.130759449195862,71.64,91.17
77,1.5418785462012659,1.123747783279419,71.47,91.48
78,1.5273296078046164,1.1239120697021485,72.5,91.31
79,1.5249507289666395,1.1638653379440307,71.91,91.25
80,1.5019967149465512,1.1610261962890625,71.7,90.87
81,1.5129928616377024,1.198180010986328,70.39,90.38
82,1.4980311644382966,1.1145756393432618,72.4,91.46
83,1.4901598591070908,1.1274442932128905,71.65,91.23
84,1.4896178465623122,1.117448885536194,72.53,91.45
85,1.4829328720386212,1.185074413871765,71.95,90.78
86,1.4791976546629881,1.143169038581848,72.24,91.0
87,1.4675889880229265,1.1520564201354981,71.73,91.27
88,1.4580868338927244,1.1617556760787964,71.82,91.01
89,1.454934632166838,1.1440900966644287,72.08,91.31
90,1.4519494368479802,1.1797549983024598,72.36,90.54
91,1.4396497616401085,1.164957472229004,72.44,90.84
92,1.441203548358037,1.1673104442596436,71.81,90.95
93,1.4417798730043265,1.1684101935386657,72.04,90.87
94,1.4273125000489064,1.1912014364242554,71.97,90.58
95,1.424997884187943,1.152556516456604,72.25,90.98
96,1.4134983560977838,1.1421508024215699,72.86,91.48
97,1.4051315903663635,1.159485015296936,72.63,91.1
98,1.3987205817149235,1.1470826348304748,72.56,91.37
99,1.396434065928826,1.1382764799118041,72.51,91.1
100,1.3909702368271657,1.1898627300262452,72.27,90.68
101,1.3836841699404594,1.1478620370864867,72.97,91.28
102,1.3813412110010783,1.1370209600448609,72.89,91.33
103,1.3847212880085675,1.1297196409225463,73.09,91.42
104,1.3769869651549902,1.1527947959899902,72.59,91.3
105,1.369690487934993,1.2023497283935547,71.71,90.74
106,1.3654158745056544,1.1229001962661742,73.12,91.46
107,1.370621477640592,1.160346179008484,72.97,91.25
108,1.3595666252649747,1.1581011334419251,73.72,91.23
109,1.3531451497322473,1.1678407890319824,73.01,90.93
110,1.3555658319057562,1.1277042045593262,73.33,91.34
111,1.3413912491920668,1.218511262512207,71.25,90.48
112,1.3434306918046413,1.1400134084701539,73.4,91.37
113,1.3416176181573134,1.1895906818389892,73.27,91.06
114,1.3367528713666477,1.1553946765899659,73.38,91.3
115,1.3359192142119773,1.168401523590088,73.63,91.4
116,1.3243053295673468,1.1500136459350585,73.28,91.39
117,1.3234270211977837,1.148055556488037,73.46,91.42
118,1.318860371907552,1.1421372660636901,73.61,91.53
119,1.3105940161607204,1.1703411847114562,73.12,90.89
120,1.3142204886827713,1.163039035987854,73.21,91.25
121,1.313914187443562,1.1935464906692506,72.98,91.53
122,1.3134975625918461,1.1923135690689086,72.72,90.98
123,1.2940044244130453,1.1781846668243408,73.49,91.4
124,1.2989650442050054,1.1688300819396973,73.64,91.6
125,1.2895900023289215,1.1520627053260803,73.85,91.32
126,1.2925002174499707,1.1677744092941285,74.06,91.29
127,1.284053166096027,1.1514373161315918,73.83,91.39
128,1.2867466825705307,1.2077206853866578,73.34,90.86
129,1.2876289141483797,1.175405926132202,73.63,91.3
130,1.285334212352068,1.186005297279358,73.43,91.19
131,1.279274456623273,1.190645937347412,73.7,91.21
132,1.2729089367084014,1.1716805040359497,73.61,91.28
133,1.2747063141602737,1.1733579568862915,73.45,91.44
134,1.265767250305567,1.169802035522461,73.96,90.95
135,1.2671010610384819,1.1593994963645935,73.76,91.5
136,1.266319513015258,1.1802728036880492,72.79,90.99
137,1.2645324025398645,1.1762003923416138,73.69,91.16
138,1.2677510906488467,1.164044458961487,73.87,91.12
139,1.2508445473817678,1.1620186302185058,73.65,91.42
140,1.243472997041849,1.182694771385193,73.74,91.17
141,1.2451972976709023,1.1526986680030822,74.21,91.48
142,1.246280699204176,1.170433259487152,73.58,90.99
143,1.2431049750401424,1.185142007446289,74.1,91.34
144,1.2412332779321915,1.1936629553794862,74.22,91.1
145,1.238792779812446,1.1767870265960694,74.41,91.45
146,1.231954140540881,1.1983797189712524,73.5,91.27
